center_id,meal_id,week_of_year,num_orders
0,10,1062,1,877
1,10,1062,2,994
2,10,1062,3,675
3,10,1062,4,883
4,10,1062,5,945
5,10,1062,6,1022
6,10,1062,7,1031
7,10,1062,8,1202
8,10,1062,9,1120
9,10,1062,10,1454
10,10,1062,11,1148
11,10,1062,12,1093
12,10,1062,13,1120
13,10,1062,14,1030
14,10,1062,15,927
15,10,1062,16,989
16,10,1062,17,828
17,10,1062,18,977
18,10,1062,19,766
19,10,1062,20,1021
20,10,1062,21,954
21,10,1062,22,962
22,10,1062,23,1098
23,10,1062,24,1130
24,10,1062,25,881
25,10,1062,26,827
26,10,1062,27,797
27,10,1062,28,1035
28,10,1062,29,1026
29,10,1062,30,792
30,10,1062,31,1021
31,10,1062,32,963
32,10,1062,33,1089
33,10,1062,34,963
34,10,1062,35,941
35,10,1062,36,882
36,10,1062,37,1049
37,10,1062,38,837
38,10,1062,39,923
39,10,1062,40,927
40,10,1062,41,886
41,10,1062,42,927
42,10,1062,43,769
43,10,1062,44,768
44,10,1062,45,1038
45,10,1062,46,804
46,10,1062,47,944
47,10,1062,48,783
48,10,1062,49,844
49,10,1062,50,877
50,10,1062,51,607
51,10,1062,52,330
52,10,1109,1,1141
53,10,1109,2,1777
54,10,1109,3,1786
55,10,1109,4,2029
56,10,1109,5,1350
57,10,1109,6,1494
58,10,1109,7,1835
59,10,1109,8,1372
60,10,1109,9,1287
61,10,1109,10,1507
62,10,1109,11,1094
63,10,1109,12,1377
64,10,1109,13,1247
65,10,1109,14,1543
66,10,1109,15,1467
67,10,1109,16,2065
68,10,1109,17,1539
69,10,1109,18,1282
70,10,1109,19,1562
71,10,1109,20,2155
72,10,1109,21,1493
73,10,1109,22,1412
74,10,1109,23,1598
75,10,1109,24,1404
76,10,1109,25,1242
77,10,1109,26,1256
78,10,1109,27,2030
79,10,1109,28,2159
80,10,1109,29,1454
81,10,1109,30,1305
82,10,1109,31,1872
83,10,1109,32,1472
84,10,1109,33,1471
85,10,1109,34,1328
86,10,1109,35,1323
87,10,1109,36,1003
88,10,1109,37,1355
89,10,1109,38,1319
90,10,1109,39,1432
91,10,1109,40,1557
92,10,1109,41,1463
93,10,1109,42,1822
94,10,1109,43,1061
95,10,1109,44,2357
96,10,1109,45,1391
97,10,1109,46,1302
98,10,1109,47,3477
99,10,1109,48,2402
100,10,1109,49,1208
101,10,1109,50,871
102,10,1109,51,1086
103,10,1109,52,716
104,10,1198,1,324
105,10,1198,2,265
106,10,1198,3,284
107,10,1198,4,315
108,10,1198,5,270
109,10,1198,6,311
110,10,1198,7,283
111,10,1198,8,315
112,10,1198,9,369
113,10,1198,10,319
114,10,1198,11,301
115,10,1198,12,382
116,10,1198,13,338
117,10,1198,14,283
118,10,1198,15,441
119,10,1198,16,297
120,10,1198,17,419
121,10,1198,18,342
122,10,1198,19,314
123,10,1198,20,477
124,10,1198,21,386
125,10,1198,22,450
126,10,1198,23,346
127,10,1198,24,392
128,10,1198,25,414
129,10,1198,26,392
130,10,1198,27,414
131,10,1198,28,383
132,10,1198,29,404
133,10,1198,30,311
134,10,1198,31,292
135,10,1198,32,291
136,10,1198,33,360
137,10,1198,34,387
138,10,1198,35,386
139,10,1198,36,338
140,10,1198,37,422
141,10,1198,38,342
